movie,genre,gross,tickets_sold
Avengers: Endgame,Action,"$858,373,000 ","93,708,843"
The Lion King,Adventure,"$543,638,043 ","59,349,131"
Frozen II,Adventure,"$450,439,533 ","49,174,621"
Toy Story 4,Adventure,"$434,038,008 ","47,384,062"
Captain Marvel,Action,"$426,829,839 ","46,597,144"
Star Wars: The Rise of Skyw...,Adventure,"$390,706,234 ","42,653,519"
Spider-Man: Far From Home,Action,"$390,532,085 ","42,634,507"
Aladdin,Adventure,"$355,559,216 ","38,816,508"
Joker,Thriller/Suspense,"$333,772,511 ","36,438,047"
It: Chapter Two,Horror,"$211,593,228 ","23,099,697"
Jumanji: The Next Level,Adventure,"$192,094,536 ","20,971,019"
Us,Thriller/Suspense,"$175,084,580 ","19,114,037"
Fast & Furious Presents: Ho...,Action,"$173,956,935 ","18,990,932"
John Wick: Chapter 3 - Para...,Action,"$171,015,687 ","18,669,834"
How to Train Your Dragon: T...,Adventure,"$160,799,505 ","17,554,531"
The Secret Life of Pets 2,Adventure,"$158,874,395 ","17,344,366"
Pokémon: Detective Pikachu,Adventure,"$144,105,346 ","15,732,025"
Once Upon a Time...in Hollywo...,Thriller/Suspense,"$141,096,530 ","15,403,551"
Shazam!,Action,"$140,371,656 ","15,324,417"
Aquaman,Action,"$136,001,983 ","14,847,378"
Knives Out,Drama,"$130,119,450 ","14,205,180"
Dumbo,Adventure,"$114,766,307 ","12,529,073"
Maleficent: Mistress of Evil,Adventure,"$113,294,737 ","12,368,421"
Glass,Thriller/Suspense,"$111,048,468 ","12,123,195"
Godzilla: King of the Monsters,Action,"$110,500,138 ","12,063,334"
Ford v. Ferrari,Drama,"$109,976,339 ","12,006,150"
The Upside,Comedy,"$108,235,497 ","11,816,102"
The LEGO Movie 2: The Secon...,Adventure,"$105,806,508 ","11,550,929"
Hustlers,Drama,"$104,962,986 ","11,458,841"
The Addams Family,Adventure,"$97,185,807 ","10,609,804"
Downton Abbey,Drama,"$96,853,865 ","10,573,566"
Rocketman,Drama,"$96,368,160 ","10,520,541"
Alita: Battle Angel,Action,"$85,710,210 ","9,357,009"
Good Boys,Comedy,"$83,140,306 ","9,076,453"
Men in Black: International,Adventure,"$80,001,807 ","8,733,821"
Annabelle Comes Home,Horror,"$74,152,591 ","8,095,261"
Yesterday,Romantic Comedy,"$73,286,650 ","8,000,726"
Tyler Perry's A Madea Famil...,Comedy,"$73,257,045 ","7,997,493"
Zombieland: Double Tap,Comedy,"$73,027,571 ","7,972,442"
Little Women,Drama,"$70,502,828 ","7,696,815"
Angel Has Fallen,Thriller/Suspense,"$69,030,436 ","7,536,073"
Scary Stories to Tell in th...,Horror,"$68,947,075 ","7,526,973"
Dark Phoenix,Action,"$65,845,974 ","7,188,425"
Terminator: Dark Fate,Action,"$62,253,077 ","6,796,187"
Abominable,Adventure,"$60,679,265 ","6,624,374"
Dora and the Lost City of Gold,Adventure,"$60,477,943 ","6,602,395"
A Beautiful Day in the Neig...,Drama,"$58,801,961 ","6,419,428"
Midway,Action,"$56,547,282 ","6,173,284"
Spider-Man: Into The Spider...,Adventure,"$56,194,964 ","6,134,821"
Bumblebee,Adventure,"$55,769,470 ","6,088,370"
The Curse of La Llorona,Horror,"$54,733,739 ","5,975,299"
Pet Sematary,Horror,"$54,724,696 ","5,974,311"
What Men Want,Romantic Comedy,"$54,611,903 ","5,961,998"
Green Book,Comedy,"$52,927,165 ","5,778,075"
Ad Astra,Thriller/Suspense,"$50,188,370 ","5,479,079"
Isn't it Romantic,Romantic Comedy,"$48,791,187 ","5,326,549"
Gemini Man,Action,"$48,546,770 ","5,299,865"
Spies in Disguise,Adventure,"$47,042,421 ","5,135,635"
MA,Horror,"$45,896,028 ","5,010,483"
Five Feet Apart,Drama,"$45,729,221 ","4,992,273"
Wonder Park,Adventure,"$45,216,793 ","4,936,331"
Rambo: Last Blood,Action,"$44,819,352 ","4,892,942"
Playing with Fire,Comedy,"$44,406,890 ","4,847,913"
Harriet,Drama,"$42,547,700 ","4,644,945"
A Dog's Way Home,Drama,"$41,952,715 ","4,579,990"
The Angry Birds Movie 2,Adventure,"$41,657,076 ","4,547,715"
Little,Comedy,"$40,860,481 ","4,460,751"
Queen & Slim,Drama,"$40,718,945 ","4,445,300"
Breakthrough,Drama,"$40,713,082 ","4,444,659"
The Mule,Drama,"$39,084,073 ","4,266,820"
Crawl,Horror,"$39,014,193 ","4,259,191"
Escape Room,Horror,"$38,762,584 ","4,231,723"
Uncut Gems,Thriller/Suspense,"$36,556,384 ","3,990,871"
The Hustle,Comedy,"$35,417,038 ","3,866,488"
The Intruder,Thriller/Suspense,"$35,388,976 ","3,863,425"
Last Christmas,Romantic Comedy,"$35,116,450 ","3,833,674"
Overcomer,Drama,"$34,700,142 ","3,788,225"
Mary Poppins Returns,Musical,"$33,141,176 ","3,618,032"
Cold Pursuit,Thriller/Suspense,"$32,138,862 ","3,508,609"
Doctor Sleep,Horror,"$31,543,097 ","3,443,570"
Dragon Ball Super: Broly,Action,"$30,376,755 ","3,316,239"
Long Shot,Romantic Comedy,"$30,316,271 ","3,309,636"
Child's Play,Horror,"$29,208,403 ","3,188,690"
Ready or Not,Black Comedy,"$28,714,231 ","3,134,741"
21 Bridges,Thriller/Suspense,"$28,265,017 ","3,085,700"
Happy Death Day 2U,Thriller/Suspense,"$28,148,130 ","3,072,940"
Midsommar,Horror,"$27,426,363 ","2,994,144"
Bohemian Rhapsody,Drama,"$26,490,206 ","2,891,943"
The Art of Racing in the Rain,Drama,"$26,402,818 ","2,882,403"
Countdown,Horror,"$25,617,813 ","2,796,704"
Bombshell,Drama,"$24,589,972 ","2,684,494"
Judy,Drama,"$24,027,755 ","2,623,117"
Parasite,Black Comedy,"$23,850,889 ","2,603,808"
Fighting With My Family,Comedy,"$22,958,583 ","2,506,395"
On the Basis of Sex,Drama,"$22,946,065 ","2,505,029"
A Dog's Journey,Drama,"$22,782,371 ","2,487,158"
Booksmart,Comedy,"$22,680,962 ","2,476,087"
Stuber,Comedy,"$22,370,452 ","2,442,189"
47 Meters Down: Uncaged,Thriller/Suspense,"$22,260,900 ","2,430,229"
Black and Blue,Action,"$22,012,729 ","2,403,136"
Hellboy,Horror,"$21,903,748 ","2,391,238"
Jojo Rabbit,Black Comedy,"$21,579,550 ","2,355,846"
Shaft,Comedy,"$21,360,215 ","2,331,901"
The Peanut Butter Falcon,Adventure,"$20,457,158 ","2,233,314"
UglyDolls,Adventure,"$20,150,241 ","2,199,807"
Cats,Musical,"$19,970,095 ","2,180,141"
Unplanned,Drama,"$19,005,109 ","2,074,793"
The Favourite,Black Comedy,"$18,478,318 ","2,017,283"
Vice,Black Comedy,"$18,108,785 ","1,976,941"
Richard Jewell,Drama,"$17,822,217 ","1,945,657"
Charlie's Angels,Action,"$17,790,181 ","1,942,159"
The Farewell,Drama,"$17,700,478 ","1,932,366"
BrightBurn,Horror,"$17,259,427 ","1,884,216"
The Good Liar,Thriller/Suspense,"$16,973,279 ","1,852,978"
The Kid Who Would Be King,Adventure,"$16,790,790 ","1,833,055"
Missing Link,Adventure,"$16,649,539 ","1,817,635"
Late Night,Comedy,"$15,500,045 ","1,692,144"
Miss Bala,Action,"$14,998,027 ","1,637,339"
The Prodigy,Horror,"$14,856,291 ","1,621,865"
A Star is Born,Drama,"$14,130,981 ","1,542,684"
Ralph Breaks The Internet,Adventure,"$13,939,018 ","1,521,726"
Poms,Comedy,"$13,631,124 ","1,488,113"
They Shall Not Grow Old,Documentary,"$12,253,074 ","1,337,672"
The Kitchen,Drama,"$12,180,032 ","1,329,698"
After,Drama,"$12,138,565 ","1,325,170"
Blinded by the Light,Drama,"$11,901,145 ","1,299,252"
The Grudge,Horror,"$11,404,113 ","1,244,990"
The Lighthouse,Horror,"$10,809,320 ","1,180,056"
Dark Waters,Drama,"$10,633,879 ","1,160,904"
Greta,Thriller/Suspense,"$10,544,310 ","1,151,126"
If Beale Street Could Talk,Drama,"$10,506,525 ","1,147,000"
The Best of Enemies,Drama,"$10,205,616 ","1,114,150"
Black Christmas,Horror,"$9,867,670 ","1,077,257"
Hotel Mumbai,Thriller/Suspense,"$9,619,500 ","1,050,163"
Motherless Brooklyn,Drama,"$9,277,736 ","1,012,853"
No Manches Frida 2,Comedy,"$9,270,920 ","1,012,109"
Where'd You Go Bernadette,Comedy,"$9,198,356 ","1,004,187"
Apollo 11,Documentary,"$9,040,224 ","986,924"
Serenity,Thriller/Suspense,"$8,547,045 ","933,083"
Anna,Action,"$7,743,794 ","845,392"
Penguins,Documentary,"$7,699,452 ","840,552"
Brittany Runs a Marathon,Drama,"$7,136,342 ","779,076"
The Dead Don't Die,Horror,"$6,782,066 ","740,400"
Mary Queen of Scots,Drama,"$6,742,269 ","736,056"
Jexi,Comedy,"$6,546,159 ","714,646"
Second Act,Comedy,"$6,489,861 ","708,500"
Run the Race,Drama,"$6,424,420 ","701,355"
Free Solo,Documentary,"$6,093,902 ","665,273"
The Current War: Director's...,Drama,"$5,978,673 ","652,693"
Captive State,Thriller/Suspense,"$5,958,315 ","650,471"
The Wandering Earth,Action,"$5,875,487 ","641,428"
Arctic Dogs,Adventure,"$5,801,249 ","633,324"
Gloria Bell,Drama,"$5,611,123 ","612,568"
The Mustang,Drama,"$5,336,840 ","582,624"
The Goldfinch,Drama,"$5,332,621 ","582,164"
Stan & Ollie,Drama,"$5,235,893 ","571,604"
Don't Let Go,Thriller/Suspense,"$5,215,062 ","569,330"
The Sun is Also a Star,Drama,"$4,950,029 ","540,396"
Bring the Soul: The Movie,Documentary,"$4,809,800 ","525,087"
Pavarotti,Documentary,"$4,686,402 ","511,615"
Tolkien,Drama,"$4,535,154 ","495,104"
The Last Black Man in San F...,Drama,"$4,515,719 ","492,982"
Amazing Grace,Documentary,"$4,450,454 ","485,857"
Brian Banks,Drama,"$4,376,820 ","477,818"
The Biggest Little Farm,Documentary,"$4,367,816 ","476,835"
Dr. Seuss' The Grinch,Adventure,"$4,340,540 ","473,858"
Cold War,Drama,"$4,307,930 ","470,298"
Linda Ronstadt: The Sound o...,Documentary,"$4,244,894 ","463,416"
Gully Boy,Adventure,"$4,216,437 ","460,309"
Uri: The Surgical Strike,Action,"$4,185,663 ","456,950"
Replicas,Thriller/Suspense,"$4,046,429 ","441,749"
Pain & Glory,Drama,"$3,967,719 ","433,157"
Ne Zha,Adventure,"$3,695,533 ","403,442"
Mission Mangal,Drama,"$3,660,413 ","399,608"
War,Action,"$3,640,355 ","397,418"
2019 Oscar Shorts,Multiple Genres,"$3,531,093 ","385,490"
The Beach Bum,Comedy,"$3,502,600 ","382,379"
Echo in the Canyon,Documentary,"$3,355,266 ","366,295"
Jay and Silent Bob Reboot,Comedy,"$3,258,824 ","355,766"
Maiden,Documentary,"$3,162,490 ","345,250"
Honey Boy,Drama,"$2,980,099 ","325,338"
Friends 25th: The One With ...,Comedy,"$2,884,827 ","314,937"
IP Man: The Finale,Action,"$2,866,676 ","312,955"
Fantastic Beasts: The Crime...,Adventure,"$2,774,042 ","302,843"
Kalank,Drama,"$2,729,336 ","297,962"
Bharat,Action,"$2,684,911 ","293,112"
Everybody Knows,Drama,"$2,677,805 ","292,337"
Tod@s Caen,Romantic Comedy,"$2,670,925 ","291,585"
Saaho,Action,"$2,626,284 ","286,712"
Instant Family,Comedy,"$2,518,231 ","274,916"
The Art of Self-Defense,Comedy,"$2,410,914 ","263,200"
Arctic,Drama,"$2,409,826 ","263,081"
Welcome to Marwen,Drama,"$2,405,625 ","262,623"
"My People, My Country",Drama,"$2,323,409 ","253,647"
Promare,Adventure,"$2,290,542 ","250,059"
Super 30,Drama,"$2,269,878 ","247,803"
Holmes & Watson,Comedy,"$2,254,994 ","246,178"
The Fall of the American Em...,Comedy,"$2,178,148 ","237,789"
Total Dhamaal,Comedy,"$2,167,632 ","236,641"
Housefull 4,Romantic Comedy,"$2,109,160 ","230,257"
The Matrix,Action,"$2,013,136 ","219,775"
Luce,Thriller/Suspense,"$2,010,613 ","219,499"
Chhichhore,Comedy,"$2,004,400 ","218,820"
Official Secrets,Thriller/Suspense,"$1,996,766 ","217,987"
Better Days,Drama,"$1,921,657 ","209,787"
Badla,Thriller/Suspense,"$1,861,000 ","203,165"
The White Crow,Drama,"$1,827,604 ","199,520"
Pandas,Documentary,"$1,816,106 ","198,265"
The Other Side of Heaven 2:...,Drama,"$1,807,116 ","197,283"
Shoplifters,Drama,"$1,666,708 ","181,955"
Wild Rose,Drama,"$1,635,118 ","178,506"
Waves,Musical,"$1,626,272 ","177,540"
The Aftermath,Drama,"$1,618,497 ","176,691"
Western Stars,Documentary,"$1,581,681 ","172,673"
Red Joan,Drama,"$1,580,223 ","172,513"
After the Wedding,Drama,"$1,573,276 ","171,755"
Extreme Job,Action,"$1,565,885 ","170,948"
The Kid,Western,"$1,508,593 ","164,693"
Capernaum,Drama,"$1,488,318 ","162,480"
Fantastic Fungi,Documentary,"$1,444,604 ","157,707"
The Wife,Drama,"$1,393,052 ","152,079"
National Lampoon's Christma...,Comedy,"$1,385,620 ","151,269"
It,Horror,"$1,347,126 ","147,066"
1917,Thriller/Suspense,"$1,326,178 ","144,779"
Never Look Away,Thriller/Suspense,"$1,303,747 ","142,330"
Destroyer,Thriller/Suspense,"$1,285,243 ","140,310"
A Hidden Life,Drama,"$1,274,329 ","139,118"
Can You Ever Forgive Me?,Drama,"$1,259,896 ","137,543"
No Safe Spaces,Documentary,"$1,240,211 ","135,394"
High Life,Horror,"$1,225,852 ","133,826"
All is True,Drama,"$1,199,066 ","130,902"
Ben is Back,Drama,"$1,191,342 ","130,059"
Ek Ladki Ko Dekah Toh Aisa ...,Romantic Comedy,"$1,182,636 ","129,108"
PLAYMOBIL,Adventure,"$1,113,885 ","121,603"
Mortal Engines,Action,"$1,056,865 ","115,378"
The Souvenir,Drama,"$1,030,502 ","112,500"
Perfect Strangers,Comedy,"$1,014,507 ","110,754"
Marianne & Leonard: Words o...,Documentary,"$1,013,820 ","110,679"
Simmba,Action,"$986,339 ","107,678"
RUSH: Cinema Strangiato 2019,Concert/Perfor...,"$958,907 ","104,684"
The Fighting Preacher,Drama,"$955,781 ","104,342"
Metallica & San Francisco S...,Concert/Perfor...,"$907,163 ","99,035"
Toni Morrison: The Pieces I Am,Documentary,"$903,018 ","98,582"
The Goonies,Adventure,"$864,378 ","94,364"
Jesus is King,Musical,"$850,000 ","92,794"
Woman at War,Action,"$847,495 ","92,521"
The Polar Express,Adventure,"$818,250 ","89,329"
Like Arrows,Drama,"$817,990 ","89,300"
Climax,Drama,"$817,339 ","89,229"
Transit,Drama,"$815,290 ","89,005"
Between Me and My Mind,Documentary,"$813,844 ","88,847"
Elf,Comedy,"$786,249 ","85,835"
Student of the Year 2,Romantic Comedy,"$778,566 ","84,996"
The Church,Horror,"$771,645 ","84,240"
JONI 75: A Birthday Celebra...,Concert/Perfor...,"$752,205 ","82,118"
BlacKkKlansman,Black Comedy,"$747,775 ","81,635"
David Crosby: Remember My Name,Documentary,"$732,515 ","79,968"
Bennett's War,Drama,"$725,042 ","79,153"
More Than Blue,Drama,"$722,669 ","78,893"
Thank You For Everything,Comedy,"$718,321 ","78,419"
Honeyland,Documentary,"$712,363 ","77,768"
The Captain,Drama,"$706,572 ","77,136"
Non-Fiction,Comedy,"$704,919 ","76,956"
Where's My Roy Cohn?,Documentary,"$704,780 ","76,941"
Depeche Mode: Spirits in th...,Concert/Perfor...,"$704,744 ","76,937"
El Chicano,Drama,"$700,261 ","76,447"
Raise Hell: The Life and Ti...,Documentary,"$694,410 ","75,808"
The Grizzlies,Drama,"$650,565 ","71,022"
Nancy Drew and the Hidden S...,Drama,"$623,088 ","68,023"
The Wizard of Oz,Musical,"$622,486 ","67,957"
Miles Davis: Birth of the Cool,Documentary,"$614,201 ","67,052"
The Chaperone,Drama,"$600,654 ","65,573"
Roger Waters Us + Them,Documentary,"$594,982 ","64,954"
Furie,Action,"$594,788 ","64,933"
Bethany Hamilton: Unstoppable,Documentary,"$590,671 ","64,483"
The Public,Drama,"$573,503 ","62,609"
The Sky is Pink,Drama,"$555,030 ","60,592"
The Shining,Horror,"$551,257 ","60,181"
Fiddler: A Miracle of Miracles,Documentary,"$549,385 ","59,976"
Everybody's Everything,Documentary,"$547,207 ","59,738"
Dabangg 3,Action,"$535,000 ","58,406"
Grateful Dead Meet-Up at th...,Documentary,"$534,611 ","58,363"
Shadow,Action,"$521,396 ","56,920"
Long Day's Journey Into Nig...,Drama,"$521,365 ","56,917"
The Spy Behind Home Plate,Documentary,"$519,525 ","56,716"
Wild Nights With Emily,Comedy,"$519,487 ","56,712"
Birds of Passage,Drama,"$507,259 ","55,377"
Tel Aviv on Fire,Romantic Comedy,"$504,443 ","55,070"
Widows,Thriller/Suspense,"$498,459 ","54,416"
The Climbers,Adventure,"$487,157 ","53,183"
The Great Alaskan Race,Adventure,"$481,924 ","52,611"
Exit,Adventure,"$478,949 ","52,287"
CatVideoFest 2019,Documentary,"$470,923 ","51,410"
Cruel Intentions,Drama,"$463,365 ","50,585"
Panipat,Action,"$461,863 ","50,421"
Christmas Jars,Drama,"$459,466 ","50,160"
Dear Comrade,Action,"$457,000 ","49,890"
Les Misérables - The Staged...,Concert/Perfor...,"$444,150 ","48,487"
Teen Spirit,Musical,"$441,366 ","48,184"
De De Pyaar De,Romantic Comedy,"$425,934 ","46,499"
En Brazos de un Asesino,Thriller/Suspense,"$425,332 ","46,433"
Hail Satan?,Documentary,"$424,284 ","46,319"
Ash is Purest White,Drama,"$414,578 ","45,259"
Union,Drama,"$413,656 ","45,158"
The Invisibles,Documentary,"$408,397 ","44,584"
Monos,Thriller/Suspense,"$406,473 ","44,374"
The Nightingale,Drama,"$400,741 ","43,749"
Mia and the White Lion,Drama,"$400,498 ","43,722"
The Man Who Killed Don Quixote,Drama,"$391,963 ","42,790"
The Wedding Guest,Thriller/Suspense,"$386,166 ","42,157"
The Cure: Anniversary 1978-...,Concert/Perfor...,"$378,405 ","41,310"
The Hummingbird Project,Drama,"$371,784 ","40,587"
Matthias & Maxime,Drama,"$365,918 ","39,947"
The Tomorrow Man,Drama,"$354,103 ","38,657"
"Cyrano, My Love",Comedy,"$351,019 ","38,320"
Photograph,Drama,"$344,534 ","37,612"
Diane,Drama,"$339,838 ","37,100"
Sword of Trust,Drama,"$322,598 ","35,218"
Lucy in the Sky,Drama,"$319,976 ","34,931"
At Eternity's Gate,Drama,"$317,975 ","34,713"
Out of Liberty,Western,"$317,217 ","34,630"
Josh Groban Bridges from Ma...,Concert/Perfor...,"$315,173 ","34,407"
K-12,Musical,"$303,230 ","33,103"
Aquarela,Documentary,"$301,429 ","32,907"
63 Up,Documentary,"$299,745 ","32,723"
Ask Dr. Ruth,Documentary,"$297,195 ","32,444"
Line Walker 2: Invisible Spy,Action,"$296,751 ","32,396"
Killerman,Action,"$291,477 ","31,820"
The Bravest,Drama,"$290,217 ","31,683"
Khalid: Free Spirit,Documentary,"$284,229 ","31,029"
Mike Wallace is Here,Documentary,"$281,245 ","30,703"
Freaks,Thriller/Suspense,"$276,591 ","30,195"
Just Mercy,Drama,"$267,881 ","29,245"
Smallfoot,Adventure,"$263,482 ","28,764"
Her Smell,Drama,"$255,599 ","27,903"
One Child Nation,Documentary,"$252,734 ","27,591"
I Got The Hook-Up 2,Comedy,"$252,293 ","27,542"
Lords of Chaos,Thriller/Suspense,"$252,245 ","27,537"
Canal Street,Drama,"$251,917 ","27,501"
Meeting Gorbachev,Documentary,"$251,837 ","27,493"
Under the Sea 3D,Documentary,"$246,137 ","26,871"
311: Enlarged to Show Detail 3,Concert/Perfor...,"$238,791 ","26,068"
Give Me Liberty,Comedy,"$238,600 ","26,048"
American Woman,Drama,"$236,637 ","25,833"
Ashfall,Action,"$236,183 ","25,784"
Pagalpanti,Comedy,"$227,714 ","24,859"
First Love,Drama,"$219,680 ","23,982"
"The Gangster, The Cop, The ...",Action,"$216,494 ","23,634"
"Faith, Hope & Love",Romantic Comedy,"$209,990 ","22,924"
Master Z: Ip Man Legacy,Action,"$209,454 ","22,866"
Play the Flute,Drama,"$207,663 ","22,671"
The Iron Orchard,Drama,"$204,881 ","22,366"
Hesburgh,Documentary,"$204,709 ","22,348"
Chasing the Dragon 2: Wild ...,Action,"$196,634 ","21,466"
Family,Drama,"$196,322 ","21,432"
Mr. Klein,Drama,"$189,718 ","20,711"
Synonyms,Drama,"$186,482 ","20,358"
The Song of Names,Drama,"$186,005 ","20,306"
To Dust,Drama,"$184,495 ","20,141"
Robin Hood,Action,"$179,615 ","19,608"
Modest Heroes,Adventure,"$178,027 ","19,435"
The Warrior Queen of Jhansi,Drama,"$177,437 ","19,370"
Creed II,Drama,"$177,000 ","19,323"
India's Most Wanted,Thriller/Suspense,"$176,858 ","19,307"
"Iyengar: The Man, Yoga, The...",Documentary,"$176,387 ","19,256"
Tigers Are Not Afraid,Horror,"$175,559 ","19,165"
Frankie,Drama,"$167,169 ","18,249"
The Bad Guys: Reign of Chaos,Drama,"$166,971 ","18,228"
Sunset,Drama,"$164,717 ","17,982"
Them That Follow,Thriller/Suspense,"$159,218 ","17,381"
Money,Drama,"$155,732 ","17,001"
The Possession of Hannah Grace,Horror,"$153,478 ","16,755"
Halston,Documentary,"$151,991 ","16,592"
Peterloo,Drama,"$151,971 ","16,590"
Jay Myself,Documentary,"$151,331 ","16,520"
Before You Know It,Comedy,"$151,307 ","16,518"
The River and the Wall,Documentary,"$150,816 ","16,464"
The Whistleblower,Action,"$150,481 ","16,428"
Little Woods,Western,"$150,010 ","16,376"
Hampstead,Drama,"$148,636 ","16,226"
War and Peace,Drama,"$148,557 ","16,218"
Trial by Fire,Drama,"$148,504 ","16,212"
Dogman,Thriller/Suspense,"$148,225 ","16,181"
Hubble 3D,Documentary,"$147,277 ","16,078"
Framing John DeLorean,Documentary,"$145,626 ","15,898"
The Life of Brian,Comedy,"$138,071 ","15,073"
Who Will Write Our History,Documentary,"$138,039 ","15,069"
Rafiki,Drama,"$137,968 ","15,062"
The Last Resort,Documentary,"$137,857 ","15,049"
The Other Story,Drama,"$134,962 ","14,733"
Okko's Inn,Adventure,"$134,787 ","14,714"
Palau the Movie,Drama,"$134,696 ","14,704"
Born to be Wild 3D,Documentary,"$134,027 ","14,632"
Anthropocene: The Human Epoch,Documentary,"$132,807 ","14,498"
Peppa Celebrates Chinese Ne...,Adventure,"$131,225 ","14,325"
Mister America,Comedy,"$130,897 ","14,290"
The Zoya Factor,Romantic Comedy,"$128,831 ","14,064"
The World Before Your Feet,Documentary,"$125,857 ","13,739"
Paris is Burning,Documentary,"$125,677 ","13,720"
Mary Magdalene,Drama,"$124,958 ","13,641"
A Tuba to Cuba,Documentary,"$121,772 ","13,293"
Free Trip to Egypt,Documentary,"$120,780 ","13,185"
"Ruben Brandt, Collector",Drama,"$117,963 ","12,878"
Branagh Theatre Live: The W...,Drama,"$116,877 ","12,759"
The Kingmaker,Documentary,"$115,253 ","12,582"
Be Natural: The Untold Stor...,Documentary,"$114,238 ","12,471"
Police Story/Police Story 2...,Action,"$113,224 ","12,360"
Babylon (1980),Drama,"$109,749 ","11,981"
Varda by Agnes,Documentary,"$107,631 ","11,750"
The Brink,Documentary,"$106,059 ","11,578"
Cold Case Hammarskjold,Documentary,"$104,965 ","11,459"
Downtown 81,Drama,"$104,785 ","11,439"
Miss & Mrs. Cops,Comedy,"$103,935 ","11,346"
The Divine Fury,Action,"$102,982 ","11,242"
Cunningham,Documentary,"$102,082 ","11,144"
Burning,Thriller/Suspense,"$101,279 ","11,056"
The Reports on Sarah and Sa...,Drama,"$99,958 ","10,912"
Walking on Water,Documentary,"$98,358 ","10,737"
Tazza: One Eyed Jack,Drama,"$97,655 ","10,661"
Rojo,Drama,"$94,757 ","10,344"
The Image Book,Drama,"$93,950 ","10,256"
Always Miss You,Drama,"$91,884 ","10,031"
Loopers: The Caddie's Long ...,Documentary,"$90,679 ","9,899"
My Dear Liar,Drama,"$90,545 ","9,884"
Mirai no Mirai,Adventure,"$90,193 ","9,846"
The Lumber Baron,Drama,"$87,881 ","9,593"
The Chambermaid,Drama,"$86,961 ","9,493"
ECCO,Thriller/Suspense,"$86,858 ","9,482"
Sonchiriya,Action,"$86,765 ","9,472"
Ramen Shop,Drama,"$86,060 ","9,395"
The Third Wife,Drama,"$84,933 ","9,272"
Papi Chulo,Comedy,"$84,703 ","9,247"
Woodstock: Three Days That ...,Documentary,"$84,440 ","9,218"
High Strung: Free Dance,Drama,"$83,891 ","9,158"
Venom,Action,"$82,267 ","8,981"
Christ Stopped at Eboli,Drama,"$80,868 ","8,828"
Ms. Purple,Drama,"$80,657 ","8,805"
Mayday Life,Concert/Perfor...,"$78,966 ","8,620"
Deadpool 2,Action,"$78,961 ","8,620"
The Old Man and the Gun,Comedy,"$78,577 ","8,578"
The Heiresses,Drama,"$78,473 ","8,566"
A Faithful Man,Romantic Comedy,"$77,776 ","8,490"
Fast Color,Thriller/Suspense,"$76,916 ","8,396"
Clemency,Drama,"$76,373 ","8,337"
Triple Threat,Thriller/Suspense,"$76,289 ","8,328"
Savage,Thriller/Suspense,"$74,491 ","8,132"
The Nutcracker and the Four...,Adventure,"$73,093 ","7,979"
"Hale County This Morning, T...",Documentary,"$71,967 ","7,856"
Storm Boy,Adventure,"$71,760 ","7,834"
3 Faces,Drama,"$71,613 ","7,818"
Cliffs of Freedom,Drama,"$71,609 ","7,817"
