movie,genre,gross,tickets_sold
The Battle of Jangsari,Drama,"$71,146 ","7,767"
Styx,Drama,"$70,794 ","7,728"
Edie,Drama,"$70,138 ","7,656"
Diamantino,,"$70,088 ","7,651"
The Divine Move 2: The Wrat...,Action,"$67,578 ","7,377"
Being Frank,Comedy,"$67,343 ","7,351"
Last Year at Marienbad,Drama,"$66,598 ","7,270"
Working Woman,Drama,"$64,764 ","7,070"
Vita & Virginia,Drama,"$62,350 ","6,806"
By the Grace of God,Drama,"$61,079 ","6,668"
The Mountain,Black Comedy,"$61,035 ","6,663"
Wild,Drama,"$60,568 ","6,612"
Greener Grass,Comedy,"$57,384 ","6,264"
Mickey and the Bear,Drama,"$57,188 ","6,243"
Invisible Life,Drama,"$53,783 ","5,871"
Making Waves: The Art of Ci...,Documentary,"$53,144 ","5,801"
One Cut of the Dead,Horror,"$52,406 ","5,721"
End of the Century,Drama,"$51,212 ","5,590"
Charlie Says,Drama,"$51,044 ","5,572"
Mojin: The Worm Valley,Action,"$50,933 ","5,560"
The Hate U Give,Drama,"$50,839 ","5,550"
Ophelia,Drama,"$50,722 ","5,537"
Clinton Road,Horror,"$50,400 ","5,502"
American Dharma,Documentary,"$50,250 ","5,485"
"Love, Antosha",Documentary,"$50,168 ","5,476"
The Bounty Killer,Western,"$48,815 ","5,329"
The Queen,Documentary,"$47,818 ","5,220"
Under The Silver Lake,Thriller/Suspense,"$46,083 ","5,030"
High on the Hog,Action,"$45,599 ","4,978"
The Proposal,Documentary,"$45,149 ","4,928"
The Cave,Documentary,"$45,096 ","4,923"
What is Democracy,Documentary,"$44,502 ","4,858"
Becoming Astrid,Drama,"$44,399 ","4,847"
Carmine Street Guitars,Documentary,"$44,253 ","4,831"
For Sama,Documentary,"$43,796 ","4,781"
Fagara,Drama,"$43,262 ","4,722"
Immortal Hero,Drama,"$43,059 ","4,700"
Midnight Traveler,Documentary,"$41,265 ","4,504"
Aniara,Drama,"$40,124 ","4,380"
Saint Judy,Drama,"$39,275 ","4,287"
Zilla and Zoe,Comedy,"$39,003 ","4,257"
Shed of the Dead,Comedy,"$38,699 ","4,224"
Wildlife,Drama,"$38,112 ","4,160"
Britt-Marie Was Here,Comedy,"$37,127 ","4,053"
The Quiet One,Documentary,"$37,012 ","4,040"
Recorder: The Marion Stokes...,Documentary,"$36,523 ","3,987"
The Sower,Drama,"$36,233 ","3,955"
Bu√±uel in the Labyrinth of ...,Drama,"$36,205 ","3,952"
Yardie,Drama,"$35,632 ","3,889"
Loro 1,Documentary,"$35,613 ","3,887"
White Snake,Drama,"$34,730 ","3,791"
Maria by Callas,Documentary,"$34,017 ","3,713"
Killer Unicorn,Horror,"$33,901 ","3,700"
The Death of Dick Long,Black Comedy,"$33,856 ","3,696"
Moonlight Sonata: Deafness ...,Documentary,"$33,841 ","3,694"
The Wild Pear Tree,Drama,"$33,326 ","3,638"
Deep Sea 3-D,Documentary,"$32,831 ","3,584"
An Acceptable Loss,Thriller/Suspense,"$32,452 ","3,542"
10E,Comedy,"$32,413 ","3,538"
Desolation Center,Documentary,"$32,016 ","3,495"
Knife + Heart,Thriller/Suspense,"$31,969 ","3,490"
Gift,Documentary,"$31,588 ","3,448"
Memory: The Origins of Alien,Documentary,"$31,378 ","3,425"
Pasolini,Drama,"$30,757 ","3,357"
Sorry Angel,Drama,"$30,584 ","3,338"
Horn From the Heart: The Pa...,Documentary,"$30,179 ","3,294"
The Ground Beneath My Feet,Drama,"$29,171 ","3,184"
The Wind,Horror,"$28,611 ","3,123"
In the Aisles,Drama,"$28,394 ","3,099"
Kind Hearts and Coronets,Black Comedy,"$27,893 ","3,045"
Hotel by the River,Drama,"$27,832 ","3,038"
"Leaving Home, Coming Home: ...",Documentary,"$27,073 ","2,955"
The Day Shall Come,Comedy,"$26,972 ","2,944"
Wrestle,Documentary,"$26,597 ","2,903"
Donnybrook,Drama,"$26,284 ","2,869"
Swing Kids,Drama,"$26,244 ","2,865"
Return of the Hero,Drama,"$25,004 ","2,729"
Chasing Einstein,Documentary,"$24,117 ","2,632"
The Nun (1966) (Re-Release),Drama,"$23,972 ","2,617"
Beautiful Boy,Drama,"$23,952 ","2,614"
Piranhas,Drama,"$23,494 ","2,564"
Island of Lemurs: Madagascar,Documentary,"$23,187 ","2,531"
Célébration,Documentary,"$22,557 ","2,462"
Night School,Comedy,"$22,550 ","2,462"
Little Joe,Drama,"$22,422 ","2,447"
Light From Light,Drama,"$22,360 ","2,441"
The House That Jack Built,Thriller/Suspense,"$22,030 ","2,405"
The White Sheik,Comedy,"$22,009 ","2,402"
Wicked Witches,Horror,"$21,600 ","2,358"
Redoubt,Thriller/Suspense,"$21,556 ","2,353"
The Hole in the Ground,Horror,"$21,072 ","2,300"
The Gospel of Eureka,Documentary,"$20,873 ","2,278"
The All Americans,Documentary,"$20,322 ","2,218"
The Disappearance of my Mother,Documentary,"$20,293 ","2,215"
The Sound of Silence,Drama,"$20,171 ","2,202"
Prassthanam,Drama,"$19,984 ","2,181"
Midnight Family,Documentary,"$19,983 ","2,181"
Tremors,Drama,"$19,562 ","2,135"
Out of Blue,Drama,"$18,779 ","2,050"
Scandalous: The Untold Stor...,Documentary,"$18,759 ","2,047"
Before Stonewall,Documentary,"$18,724 ","2,044"
Midnight Diner,Drama,"$18,555 ","2,025"
"Phoenix, Oregon",Comedy,"$18,356 ","2,003"
To the Arctic 3D,Documentary,"$18,010 ","1,966"
The Cranes are Flying,Drama,"$17,923 ","1,956"
Citizen K,Documentary,"$17,704 ","1,932"
Jane and Emma,Drama,"$17,405 ","1,900"
Chained for Life,Black Comedy,"$17,370 ","1,896"
Ode to Joy,Comedy,"$17,303 ","1,888"
Joseph Pulitzer: Voice of t...,Documentary,"$16,971 ","1,852"
Balloon,Thriller/Suspense,"$16,792 ","1,833"
Three Peaks,Drama,"$16,216 ","1,770"
Virginia Minnesota,Comedy,"$16,118 ","1,759"
Piercing,Horror,"$15,856 ","1,731"
Starfish,Horror,"$15,850 ","1,730"
Funan,Drama,"$15,152 ","1,654"
Wrinkles the Clown,Documentary,"$14,938 ","1,630"
ZZ Top: That Little Ol' Ban...,Documentary,"$14,879 ","1,624"
Frank and Ava,Drama,"$14,820 ","1,617"
Our Time,Drama,"$14,777 ","1,613"
Giant Little Ones,Drama,"$14,500 ","1,582"
Boy Erased,Drama,"$14,490 ","1,582"
The Woman Who Loves Giraffes,Documentary,"$14,350 ","1,566"
Combat Obscura,Documentary,"$14,242 ","1,554"
Screwball,Multiple Genres,"$13,967 ","1,524"
Touch Me Not,Documentary,"$13,782 ","1,504"
This One's For The Ladies,Documentary,"$13,688 ","1,494"
Crazy Rich Asians,Romantic Comedy,"$13,586 ","1,483"
First Man,Drama,"$13,510 ","1,475"
The House with a Clock in i...,Comedy,"$13,295 ","1,451"
Rapid Response,Documentary,"$13,262 ","1,447"
Hagazussa: A Heathen's Curse,Horror,"$13,253 ","1,446"
Off Season,Thriller/Suspense,"$12,544 ","1,369"
Sympathy For the Devil,Action,"$12,144 ","1,325"
Zen for Nothing,Documentary,"$12,107 ","1,321"
Imprisoned,Thriller/Suspense,"$12,049 ","1,315"
Cassandro the Exotico,Documentary,"$11,897 ","1,298"
Hollywould,Thriller/Suspense,"$11,888 ","1,297"
Stuffed,Documentary,"$11,683 ","1,275"
Yomeddine,Adventure,"$11,308 ","1,234"
I Do Not Care If We Go Down...,Black Comedy,"$11,307 ","1,234"
Made Me Do It,Horror,"$11,151 ","1,217"
Ferrante Fever,Documentary,"$11,137 ","1,215"
If the Dancer Dances,Documentary,"$10,912 ","1,191"
Vision Portraits,Documentary,"$10,771 ","1,175"
Prescience,Drama,"$10,606 ","1,157"
Suburban Birds,Drama,"$10,364 ","1,131"
The Eyes of Orson Welles,Documentary,"$10,252 ","1,119"
A Private War,Drama,"$10,098 ","1,102"
Shooting the Mafia,Documentary,"$9,988 ","1,090"
Olivia,Drama,"$9,934 ","1,084"
Streetwise,Documentary,"$9,904 ","1,081"
Studio 54,Documentary,"$9,355 ","1,021"
Fritz Lang's Indian Epic,,"$9,345 ","1,020"
When Lambs Become Lions,Documentary,"$9,337 ","1,019"
Tyrel,Drama,"$9,314 ","1,016"
The Aspern Papers,Drama,"$9,277 ","1,012"
Liyana,Documentary,"$9,223 ","1,006"
Cracked Up,Documentary,"$9,197 ","1,004"
Advocate,Documentary,"$9,152 ",999
"Frantz Fanon: Black Skin, W...",Documentary,"$9,025 ",985
Grass,Drama,"$8,969 ",979
That Part Feeling-The Unive...,Documentary,"$8,818 ",962
The Dead Center,Thriller/Suspense,"$8,320 ",908
This Magnificent Cake!,,"$7,888 ",861
Ghost Fleet,Documentary,"$7,850 ",856
Girls of the Sun,Drama,"$7,801 ",851
Gregory's Girl,Romantic Comedy,"$7,710 ",841
I'll Take Your Dead,Horror,"$7,692 ",839
Beloved Beast,Horror,"$7,301 ",797
My Son,Thriller/Suspense,"$6,984 ",762
Rosie,Drama,"$6,839 ",746
Genesis,Drama,"$6,784 ",740
Dying to Survive,Drama,"$6,752 ",737
Life & Nothing More,Drama,"$6,745 ",736
Under the Eiffel Tower,Romantic Comedy,"$6,291 ",686
To Be of Service,Documentary,"$6,173 ",673
Relaxer,Comedy,"$6,133 ",669
The Charmer,Thriller/Suspense,"$6,118 ",667
The Golden Glove,Drama,"$5,963 ",650
"Monrovia, Indiana",Documentary,"$5,738 ",626
Of Fathers and Sons,Documentary,"$5,643 ",616
Serie noire,Drama,"$5,633 ",614
The Miracle of the Little P...,Documentary,"$5,553 ",606
Halloween,Horror,"$5,505 ",601
Spiral Farm,Drama,"$5,475 ",597
Daughter of Mine,Drama,"$5,447 ",594
100 Acres of Hell,Horror,"$5,152 ",562
Body at Brighton Rock,Thriller/Suspense,"$5,123 ",559
The Garden,Drama,"$5,006 ",546
Un Traductor,Drama,"$4,879 ",532
Crepitus,Horror,"$4,846 ",529
Ballet Blanc,Horror,"$4,832 ",527
What You Gonna Do When The ...,Documentary,"$4,672 ",510
Slaughterhouse Rulez,Action,"$4,665 ",509
At War,Drama,"$4,605 ",502
I'm Leaving Now,Documentary,"$4,443 ",485
Tito and the Birds,Adventure,"$4,332 ",472
The Fate of Lee Khan (1973)...,Action,"$4,295 ",468
The Gliksmans,Comedy,"$4,080 ",445
Sicilian Ghost Story,Drama,"$3,935 ",429
Mother of a Day,Comedy,"$3,919 ",427
Crown Vic,Action,"$3,868 ",422
The Wandering Soap Opera,Comedy,"$3,542 ",386
Another Day of Life,Drama,"$3,190 ",348
Chasing Portraits,Documentary,"$3,076 ",335
Filmworker,Documentary,"$3,016 ",329
Wings of Desire (1987) (Re-...,Drama,"$3,004 ",327
Back to the Fatherland,Documentary,"$2,697 ",294
"No Date, No Signature",Drama,"$2,567 ",280
TINY: The Life of Erin Blac...,Documentary,"$2,465 ",269
Serendipity,Documentary,"$2,213 ",241
A German Youth,Documentary,"$2,177 ",237
Iceman,Thriller/Suspense,"$2,138 ",233
Jihadists,Documentary,"$1,939 ",211
In Safe Hands,Drama,"$1,737 ",189
Little Q,Drama,"$1,652 ",180
The Killing Floor,Drama,"$1,583 ",172
Detour,Drama,"$1,540 ",168
State Like Sleep,Drama,"$1,469 ",160
The Hours and Times,Drama,"$1,273 ",138
Chinese Portrait,Documentary,"$1,246 ",136
A Fish in the Bathtub,Comedy,"$1,237 ",135
Narcissister Organ Player,Documentary,"$1,015 ",110
Chef Flynn,Documentary,$721 ,78
I am Not a Witch,Drama,$550 ,60
Divide and Conquer: The Sto...,Documentary,$474 ,51
Senso,Drama,$437 ,47
Never-Ending Man: Hayao Miy...,Documentary,$376 ,41
Bad Boys For Life,Action,"$204,417,855 ","22,292,023"
1917,Thriller/Suspense,"$157,901,466 ","17,219,352"
Sonic The Hedgehog,Adventure,"$146,066,470 ","15,928,731"
Jumanji: The Next Level,Adventure,"$124,736,710 ","13,602,694"
Star Wars: The Rise of Skyw...,Adventure,"$124,496,308 ","13,576,478"
Birds of Prey (And the Fant...,Action,"$84,158,461 ","9,177,585"
Dolittle,Adventure,"$77,047,065 ","8,402,079"
The Invisible Man,Horror,"$64,914,050 ","7,078,958"
The Call of the Wild,Adventure,"$62,342,368 ","6,798,513"
Onward,Adventure,"$61,555,145 ","6,712,665"
Tenet,Action,"$58,044,165 ","6,329,788"
Halloween,Horror,"$47,274,000 ","5,155,288"
Little Women,Drama,"$37,593,127 ","4,099,577"
The Gentlemen,Action,"$36,471,796 ","3,977,295"
Just Mercy,Drama,"$35,733,621 ","3,896,796"
Knives Out,Drama,"$35,244,610 ","3,843,468"
The Croods: A New Age,Adventure,"$32,334,280 ","3,526,093"
Parasite,Black Comedy,"$29,518,856 ","3,219,068"
Frozen II,Adventure,"$26,934,045 ","2,937,191"
Fantasy Island,Horror,"$26,441,782 ","2,883,509"
The New Mutants,Horror,"$23,855,569 ","2,601,479"
Wonder Woman 1984,Action,"$23,009,311 ","2,509,194"
Like a Boss,Comedy,"$22,169,514 ","2,417,613"
Unhinged,Thriller/Suspense,"$20,831,465 ","2,271,697"
The Photograph,Drama,"$20,578,185 ","2,244,076"
Spies in Disguise,Adventure,"$19,714,592 ","2,149,900"
The War with Grandpa,Comedy,"$18,861,607 ","2,056,881"
Underwater,Thriller/Suspense,"$17,291,078 ","1,885,613"
The Turning,Horror,"$15,472,775 ","1,687,325"
Gretel & Hansel,Horror,"$15,347,654 ","1,673,680"
Honest Thief,Thriller/Suspense,"$14,163,574 ","1,544,555"
The Way Back,Drama,"$13,590,514 ","1,482,062"
My Hero Academia: Heroes: R...,Adventure,"$13,553,826 ","1,478,061"
Uncut Gems,Thriller/Suspense,"$13,467,396 ","1,468,636"
Brahms: The Boy II,Horror,"$12,611,536 ","1,375,303"
Jojo Rabbit,Black Comedy,"$11,791,356 ","1,285,862"
Impractical Jokers: The Movie,Comedy,"$10,466,091 ","1,141,340"
I Still Believe,Drama,"$10,410,004 ","1,135,223"
Emma.,Drama,"$10,055,355 ","1,096,549"
Bloodshot,Action,"$10,021,787 ","1,092,888"
The Grudge,Horror,"$9,812,035 ","1,070,014"
Come Play,Horror,"$9,505,540 ","1,036,591"
Let Him Go,Thriller/Suspense,"$9,347,940 ","1,019,404"
Freaky,Horror,"$8,702,060 ","948,970"
Downhill,Drama,"$8,287,061 ","903,714"
Weathering With You,Drama,"$7,798,703 ","850,458"
Ford v. Ferrari,Drama,"$7,648,018 ","834,025"
Cats,Musical,"$7,196,675 ","784,806"
Bombshell,Drama,"$7,172,836 ","782,206"
It's a Wonderful Life,Drama,"$6,644,000 ","724,536"
The Hunt,Thriller/Suspense,"$5,812,500 ","633,860"
The Rhythm Section,Thriller/Suspense,"$5,437,971 ","593,017"
Monster Hunter,Action,"$5,018,403 ","547,263"
The SpongeBob Movie: Sponge...,Adventure,"$4,810,790 ","524,622"
Hocus Pocus,Comedy,"$4,777,471 ","520,989"
National Lampoon's Christma...,Comedy,"$4,593,728 ","500,951"
Richard Jewell,Drama,"$4,523,325 ","493,274"
The Broken Hearts Gallery,Romantic Comedy,"$4,066,487 ","443,455"
Infidel,Thriller/Suspense,"$4,051,990 ","441,874"
A Christmas Story,Comedy,"$3,896,391 ","424,906"
Portrait of a Lady on Fire,Drama,"$3,759,854 ","410,016"
News of the World,Western,"$3,717,170 ","405,362"
Bill & Ted Face the Music,Comedy,"$3,439,660 ","375,099"
2020 Oscar Shorts,Multiple Genres,"$3,304,748 ","360,386"
Fatale,Thriller/Suspense,"$3,089,694 ","336,935"
Queen & Slim,Drama,"$3,089,365 ","336,899"
The Empty Man,Horror,"$2,995,698 ","326,684"
My Boyfriend's Meds,Romantic Comedy,"$2,971,116 ","324,003"
The Last Full Measure,Drama,"$2,949,212 ","321,615"
A Beautiful Day in the Neig...,Drama,"$2,894,475 ","315,646"
Words on Bathroom Walls,Drama,"$2,542,518 ","277,264"
After We Collided,Drama,"$2,386,483 ","260,248"
The Nightmare Before Christmas,Musical,"$2,286,000 ","249,291"
The Lodge,Horror,"$2,138,907 ","233,250"
Half Brothers,Comedy,"$2,016,150 ","219,863"
The Personal History of Dav...,Drama,"$1,876,298 ","204,612"
The Wretched,Horror,"$1,815,440 ","197,976"
Joker,Thriller/Suspense,"$1,678,800 ","183,075"
The Rental,Thriller/Suspense,"$1,637,548 ","178,576"
Star Wars Ep. V: The Empire...,Adventure,"$1,580,209 ","172,323"
Once Upon a Time...in Hollywo...,Thriller/Suspense,"$1,406,198 ","153,347"
2 Hearts,Drama,"$1,349,284 ","147,141"
Jay and Silent Bob Reboot,Comedy,"$1,330,666 ","145,110"
Train to Busan Presents: Pe...,Horror,"$1,224,525 ","133,535"
Promising Young Woman,Black Comedy,"$1,208,180 ","131,753"
Met Opera - Agrippina,Concert/Perfor...,"$1,150,000 ","125,408"
True to the Game 2: Gena's ...,Thriller/Suspense,"$1,117,808 ","121,898"
The Assistant,Drama,"$1,100,310 ","119,990"
IP Man: The Finale,Action,"$1,089,355 ","118,795"
Love and Monsters,Adventure,"$1,070,714 ","116,762"
Relic,Thriller/Suspense,"$1,047,083 ","114,185"
The Tax Collector,Action,"$1,044,212 ","113,872"
Die Hard,Action,"$1,036,063 ","112,983"
Becky,Thriller/Suspense,"$1,002,852 ","109,362"
Break the Silence The Movie,Documentary,"$1,000,000 ","109,051"
Elf,Comedy,"$905,000 ","98,691"
All My Life,Drama,"$899,585 ","98,100"
The Song of Names,Drama,"$891,579 ","97,227"
Toy Story,Adventure,"$870,305 ","94,907"
Met Opera: Wozzeck,Concert/Perfor...,"$863,000 ","94,111"
Cut Throat City,Drama,"$855,894 ","93,336"
Sarileru Neekevvaru,Action,"$821,000 ","89,531"
Vanguard,Action,"$793,525 ","86,534"
Pinocchio,Adventure,"$782,555 ","85,338"
Color Out of Space,Horror,"$765,561 ","83,485"
Shortcut,Horror,"$758,223 ","82,685"
Possessor,Thriller/Suspense,"$752,885 ","82,103"
Coco,Musical,"$734,000 ","80,043"
"Monsters, Inc.",Adventure,"$726,000 ","79,171"
Baaghi 3,Action,"$721,439 ","78,673"
The Santa Clause,Adventure,"$706,000 ","76,990"
The Last Vermeer,Drama,"$685,380 ","74,741"
The Addams Family,Adventure,"$678,926 ","74,037"
The Last Shift,Comedy,"$643,658 ","70,191"
Synchronic,Thriller/Suspense,"$636,673 ","69,429"
Maleficent: Mistress of Evil,Adventure,"$634,868 ","69,233"
Chhapaak,Drama,"$604,334 ","65,903"
Pain & Glory,Drama,"$599,619 ","65,389"
Panga,Drama,"$582,720 ","63,546"
Black Christmas,Horror,"$562,060 ","61,293"
Guardians of the Galaxy,Action,"$542,000 ","59,105"
Alone,Thriller/Suspense,"$538,358 ","58,708"
Followed,Horror,"$538,179 ","58,689"
The Polar Express,Adventure,"$536,000 ","58,451"
Harriet,Drama,"$534,455 ","58,282"
Kajillionaire,Drama,"$531,430 ","57,953"
The Call,Horror,"$516,520 ","56,327"
The Big Ugly,Action,"$514,107 ","56,064"
Dark Waters,Drama,"$502,205 ","54,766"
The Forgotten Carols,Musical,"$501,629 ","54,703"
Spell,Horror,"$500,104 ","54,536"
Ava,Action,"$497,747 ","54,279"
CatVideoFest,Documentary,"$478,775 ","52,211"
A Hidden Life,Drama,"$456,268 ","49,756"
Once Were Brothers: Robbie ...,Documentary,"$449,561 ","49,025"
Seberg,Thriller/Suspense,"$448,009 ","48,855"
Infamous,Action,"$429,148 ","46,799"
Tulsa,Drama,"$413,522 ","45,095"
Buddy Games,Comedy,"$405,904 ","44,264"
Yellow Rose,Drama,"$367,849 ","40,114"
The Kid Detective,Black Comedy,"$364,138 ","39,709"
Greed,Comedy,"$355,308 ","38,746"
Thank You For Everything,Comedy,"$352,149 ","38,402"
Ride Your Wave,Comedy,"$332,432 ","36,252"
Les Misérables,Drama,"$330,181 ","36,006"
Ordinary Love,Drama,"$323,688 ","35,298"
How the Grinch Stole Christmas,Adventure,"$304,000 ","33,151"
Save Yourselves!,Comedy,"$301,162 ","32,842"
The Informer,Thriller/Suspense,"$300,460 ","32,765"
Midway,Action,"$299,520 ","32,663"
The Traitor,Drama,"$296,027 ","32,282"
Judy,Drama,"$292,206 ","31,865"
Clemency,Drama,"$288,343 ","31,444"
Created Equal: Clarence Tho...,Documentary,"$282,149 ","30,768"
21 Bridges,Thriller/Suspense,"$274,740 ","29,960"
"Mafia, Inc.",Drama,"$264,552 ","28,849"
Tokyo Godfathers,Adventure,"$237,581 ","25,908"
The Climb,Drama,"$234,429 ","25,564"
The Secrets We Keep,Thriller/Suspense,"$231,119 ","25,203"
Frozen,Musical,"$215,000 ","23,446"
Legend of Deification,Adventure,"$214,670 ","23,410"
Dr. Seuss' The Grinch,Adventure,"$214,000 ","23,336"
Wild Mountain Thyme,Drama,"$213,441 ","23,276"
Beanpole,Drama,"$196,258 ","21,402"
The Doors: Break on Thru - ...,Documentary,"$186,920 ","20,383"
The Outpost,Action,"$186,634 ","20,352"
The Wolf of Snow Hollow,Horror,"$185,026 ","20,177"
Come Away,Drama,"$184,477 ","20,117"
63 Up,Documentary,"$183,940 ","20,058"
The Good Liar,Thriller/Suspense,"$182,779 ","19,932"
And Then We Danced,Drama,"$177,262 ","19,330"
No Escape,Horror,"$167,962 ","18,316"
Extra Ordinary,Horror,"$164,346 ","17,922"
Cunningham,Documentary,"$163,020 ","17,777"
Ammonite,Drama,"$160,930 ","17,549"
A Call to Spy,Drama,"$159,014 ","17,340"
The Dark and The Wicked,Horror,"$152,261 ","16,604"
The Burnt Orange Heresy,Thriller/Suspense,"$144,201 ","15,725"
Always & Forever,Thriller/Suspense,"$144,161 ","15,720"
Wendy,Drama,"$143,518 ","15,650"
Incitement,Thriller/Suspense,"$140,306 ","15,300"
Archive,,"$139,593 ","15,222"
Burden,Drama,"$139,270 ","15,187"
Lupin III: The First,Adventure,"$139,066 ","15,165"
The Nest,Drama,"$137,852 ","15,032"
Beneath Us,Horror,"$137,260 ","14,968"
Ashfall,Action,"$136,379 ","14,872"
The Times of Bill Cunningham,Documentary,"$134,288 ","14,644"
Fantastic Fungi,Documentary,"$129,130 ","14,081"
Alita: Battle Angel,Action,"$128,000 ","13,958"
Saint Frances,Multiple Genres,"$127,275 ","13,879"
Corpus Christi,Drama,"$127,240 ","13,875"
The Man Standing Next,Thriller/Suspense,"$113,527 ","12,380"
Murder in the Woods,Horror,"$109,299 ","11,919"
The Muppet Christmas Carol,Comedy,"$105,400 ","11,494"
Hope Gap,Drama,"$104,732 ","11,421"
Honeyland,Documentary,"$102,719 ","11,201"
Citizen K,Documentary,"$101,762 ","11,097"
Archenemy,Action,"$101,360 ","11,053"
Made in Italy,Drama,"$101,339 ","11,051"
First Cow,Drama,"$101,068 ","11,021"
The Silencing,Thriller/Suspense,"$100,746 ","10,986"
The Woman Who Loves Giraffes,Documentary,"$99,508 ","10,851"
Come to Daddy,Black Comedy,"$96,713 ","10,546"
Tesla,Drama,"$93,147 ","10,157"
Invisible Life,Drama,"$92,752 ","10,114"
Zombieland: Double Tap,Comedy,"$90,559 ","9,875"
First Lady,Romantic Comedy,"$89,885 ","9,802"
On the Basis of Sex,Drama,"$82,150 ","8,958"
StarDog and TurboCat,Adventure,"$80,496 ","8,778"
Percy,Drama,"$76,511 ","8,343"
Alien,Horror,"$75,000 ","8,178"
Pray: The Story of Patrick ...,Documentary,"$72,347 ","7,889"
How to Build a Girl,Comedy,"$70,632 ","7,702"
Come and See,Drama,"$62,774 ","6,845"
We Summon the Darkness,Horror,"$60,794 ","6,629"
My Brothers' Crossing,Drama,"$59,390 ","6,476"
Summerland,Drama,"$58,434 ","6,372"
Bacurau,Action,"$58,115 ","6,337"
The Godfather: Part III,Drama,"$58,097 ","6,335"
The Lighthouse,Horror,"$57,784 ","6,301"
The Dissident,Documentary,"$57,000 ","6,215"
The Whistlers,Comedy,"$55,608 ","6,064"
A Simple Wedding,Romantic Comedy,"$54,415 ","5,934"
Varda by Agnes,Documentary,"$53,134 ","5,794"
No Safe Spaces,Documentary,"$51,303 ","5,594"
Miss Fisher & The Crypt Of ...,Adventure,"$51,032 ","5,565"
Henchmen,Adventure,"$49,676 ","5,417"
The Way I See it,Documentary,"$49,030 ","5,346"
VHYes,Comedy,"$47,037 ","5,129"
Enter the Fat Dragon,Action,"$46,855 ","5,109"
Play the Flute,Drama,"$46,812 ","5,104"
Playing with Fire,Comedy,"$44,957 ","4,902"
Shadow in the Cloud,Action,"$39,117 ","4,265"
Doctor Sleep,Horror,"$38,615 ","4,211"
Three Christs,Drama,"$37,788 ","4,120"
Other Music,Documentary,"$37,191 ","4,055"
Solo Brathuke So Better,Drama,"$35,000 ","3,816"
Juvenile Delinquents,Drama,"$34,292 ","3,739"
Best of Catvideofest,Documentary,"$34,287 ","3,739"
RBG,Documentary,"$34,000 ","3,707"
True History Of The Kelly Gang,Drama,"$33,816 ","3,687"
Swallow,Thriller/Suspense,"$33,419 ","3,644"
Waves,Musical,"$32,518 ","3,546"
Honey Boy,Drama,"$32,516 ","3,545"
Embattled,Drama,"$32,259 ","3,517"
Nick Mason's Saucerful of S...,Concert/Perfor...,"$31,739 ","3,461"
Max Winslow and the House o...,Thriller/Suspense,"$31,252 ","3,408"
After Parkland,Documentary,"$30,444 ","3,319"
Rent-A-Pal,Horror,"$29,615 ","3,229"
Olympic Dreams,Romantic Comedy,"$29,450 ","3,211"
Tread,Documentary,"$29,136 ","3,177"
Buffaloed,Comedy,"$29,118 ","3,175"
The White Sheik,Comedy,"$28,841 ","3,145"
Spree,Black Comedy,"$28,771 ","3,137"
Sorry We Missed You,Drama,"$28,273 ","3,083"
Cane River,Drama,"$27,317 ","2,978"
José,Drama,"$26,563 ","2,896"
Zombi Child,Adventure,"$25,878 ","2,822"
