releaseDate,title,budget
4/23/19,Avengers: Endgame,400000000
12/18/19,Star Wars: The Rise of Skywalker,275000000
7/11/19,The Lion King,260000000
7/1/22,Thor: Love and Thunder,250000000
9/29/21,No Time to Die,250000000
8/26/20,Tenet,205000000
12/14/21,Spider-Man: No Way Home,200000000
6/20/19,Toy Story 4,200000000
5/4/22,Doctor Strange in the Multiverse of Madness,200000000
3/1/22,The Batman,200000000
7/7/21,Black Widow,200000000
7/31/19,Fast & Furious Presents: Hobbs & Shaw,200000000
5/20/21,F9: The Fast Saga,200000000
11/3/21,Eternals,200000000
10/19/22,Black Adam,200000000
6/15/22,Lightyear,200000000
7/28/21,Jungle Cruise,200000000
4/6/22,Fantastic Beasts: The Secrets of Dumbledore,200000000
6/5/19,Dark Phoenix,200000000
2/28/20,Onward,200000000
12/16/20,Wonder Woman 1984,200000000
9/4/20,Mulan,200000000
7/2/21,The Tomorrow War,200000000
7/13/22,The Gray Man,200000000
12/16/21,The Matrix Resurrections,190000000
10/17/19,Maleficent: Mistress of Evil,185000000
10/25/19,Terminator: Dark Fate,185000000
7/28/21,The Suicide Squad,185000000
5/22/19,Aladdin,182000000
3/6/19,Captain Marvel,175000000
1/8/20,Dolittle,175000000
3/10/22,Turning Red,175000000
5/20/22,Top Gun: Maverick,170000000
3/27/19,Dumbo,170000000
5/29/19,Godzilla: King of the Monsters,170000000
2/1/19,Alita: Battle Angel,170000000
6/1/22,Jurassic World: Dominion,165000000
9/15/21,Dune,165000000
6/27/19,Spider-Man: Far From Home,160000000
11/1/19,The Irishman,159000000
3/25/21,Godzilla vs. Kong,155000000
11/20/19,Frozen II,150000000
9/1/21,Shang-Chi and the Legend of the Ten Rings,150000000
11/24/21,Encanto,150000000
7/14/21,Space Jam: A New Legacy,150000000
2/3/22,Moonfall,150000000
11/4/21,Red Notice,150000000
12/13/19,6 Underground,150000000
10/3/19,Gemini Man,140000000
1/3/19,How to Train Your Dragon: The Hidden World,129000000
12/4/19,Jumanji: The Next Level,125000000
1/3/20,The Call of the Wild,125000000
2/10/22,Uncharted,120000000
12/2/22,Emancipation,120000000
1/25/21,Tang Ren Jie Tan An 3,117000000
3/6/19,Triple Frontier,115000000
9/30/21,Venom: Let There be Carnage,110000000
6/12/19,Men in Black: International,110000000
12/23/22,Babylon,110000000
12/25/19,1917,100000000
12/25/19,Spies in Disguise,100000000
11/7/19,Midway,100000000
3/15/19,Wonder Park,100000000
12/8/21,West Side Story,100000000
12/22/21,The King's Man,100000000
12/17/19,Cats,100000000
2/3/21,Chaos Walking,100000000
10/13/21,The Last Duel,100000000
12/9/20,The Midnight Sky,100000000
6/12/20,Artemis Fowl,100000000
2/6/19,The LEGO Movie 2: The Second Part,99000000
11/14/19,Ford v. Ferrari,97600000
1/15/20,Bad Boys For Life,90000000
3/30/22,Sonic the Hedgehog 2,90000000
2/13/20,Sonic The Hedgehog,90000000
7/24/19,Once Upon a Time...in Hollywood,90000000
7/27/22,DC League of Super Pets,90000000
2/9/22,Death on the Nile,90000000
5/14/21,Army of the Dead,90000000
7/21/21,Snake Eyes: G.I. Joe Origins,88000000
7/14/22,Bullet Train,85900000
8/14/20,Project Power,85100000
12/1/21,Sing 2,85000000
6/22/22,Elvis,85000000
4/3/19,Shazam!,85000000
2/5/20,Birds of Prey (And the Fantabulous Emancipation...,82000000
7/1/21,The Boss Baby: Family Business,82000000
6/16/22,Minions: The Rise of Gru,80000000
5/24/19,The Secret Life of Pets 2,80000000
9/19/19,Ad Astra,80000000
10/6/22,Amsterdam,80000000
11/1/19,The Aeronauts,80000000
11/18/21,Ghostbusters: Afterlife,75000000
3/30/22,Morbius,75000000
9/19/19,Abominable,75000000
11/24/21,House of Gucci,75000000
1/6/22,The 355,75000000
8/7/19,PLAYMOBIL,75000000
12/8/21,Don't Look Up,75000000
6/24/22,The Man From Toronto,75000000
3/24/22,The Lost City,74000000
9/4/19,It: Chapter Two,70000000
6/11/21,The Hitman's Wife's Bodyguard,70000000
7/10/20,The Old Guard,70000000
7/21/22,Nope,68000000
8/18/21,Reminiscence,67972729
8/26/20,The New Mutants,67000000
11/25/20,The Croods: A New Age,65000000
8/2/19,The Angry Birds Movie 2,65000000
11/29/19,Underwater,65000000
4/24/20,Extraction,65000000
8/5/22,Prey,65000000
11/10/21,Clifford the Big Red Dog,64000000
5/26/21,A Quiet Place: Part II,61000000
1/9/19,A Dog's Way Home,61000000
9/8/22,Ticket to Paradise,60000000
2/7/19,Cold Pursuit,60000000
2/18/20,Monster Hunter,60000000
12/17/21,Nightmare Alley,60000000
7/31/20,The SpongeBob Movie: Sponge on the Run,60000000
8/30/19,The Informer,60000000
3/5/21,Coming 2 America,60000000
11/12/19,Lady and the Tramp,60000000
1/18/19,The Kid Who Would Be King,59000000
10/2/19,Joker,55000000
4/8/21,Mortal Kombat,55000000
6/10/21,In the Heights,55000000
7/10/20,Greyhound,50300000
9/15/22,The Woman King,50000000
2/12/21,Tom and Jerry,50000000
10/6/22,"Lyle, Lyle, Crocodile",50000000
9/19/19,Rambo: Last Blood,50000000
4/10/19,Hellboy,50000000
11/18/21,King Richard,50000000
9/24/21,The Many Saints of Newark,50000000
2/1/19,Liu Lang Di Qiu,50000000
11/1/19,Arctic Dogs,50000000
1/31/20,The Rhythm Section,50000000
8/8/19,Dora and the Lost City of Gold,49000000
10/9/19,Zombieland: Double Tap,48000000
11/13/19,Charlie's Angels,48000000
11/22/19,A Beautiful Day in the Neighborhood,45000000
3/26/21,Peter Rabbit 2: The Runaway,45000000
10/31/19,Doctor Sleep,45000000
12/13/19,Richard Jewell,45000000
5/1/19,UglyDolls,45000000
7/15/22,Paws of Fury: The Legend of Hank,45000000
11/29/19,Bloodshot,45000000
11/11/20,Hillbilly Elegy,45000000
10/27/21,Last Night in Soho,43000000
12/25/19,Little Women,42000000
5/22/19,Rocketman,41000000
1/21/22,The King's Daughter,40500000
5/15/19,John Wick: Chapter 3 - Parabellum,40000000
11/27/19,Knives Out,40000000
8/22/19,Angel Has Fallen,40000000
3/7/21,The Conjuring: The Devil Made Me Do It,40000000
5/1/19,Long Shot,40000000
4/22/21,Wrath of Man,40000000
11/26/21,Licorice Pizza,40000000
9/2/21,Malignant,40000000
9/12/19,The Goldfinch,40000000
11/8/19,Klaus,40000000
5/14/21,The Woman in the Window,40000000
2/26/21,Cherry,40000000
2/7/20,Timmy Failure: Mistakes Were Made,40000000
8/28/20,The War with Grandpa,38000000
12/25/20,News of the World,38000000
8/9/19,The Kitchen,38000000
1/10/19,The Upside,37500000
8/10/22,Beast,36000000
11/17/21,The Power of the Dog,35000000
10/2/20,The Trial of the Chicago 7,35000000
11/9/22,Guillermo Del Toro's Pinocchio,35000000
7/31/20,Greenland,34000000
11/22/19,21 Bridges,33000000
7/16/20,Unhinged,33000000
12/13/19,Bombshell,32000000
2/13/19,Isn't it Romantic,31000000
11/7/19,Last Christmas,30000000
6/14/19,Shaft,30000000
4/1/22,The Unbearable Weight of Massive Talent,30000000
3/7/21,Spirit Untamed,30000000
1/28/21,The Little Things,30000000
10/8/20,Honest Thief,30000000
6/19/19,Anna,30000000
7/17/19,The Current War: Director's Cut,30000000
10/16/20,Love and Monsters,30000000
8/7/20,The Tax Collector,30000000
1/10/20,Like a Boss,29000000
2/10/22,Blacklight,29000000
4/8/21,Voyagers,29000000
8/8/19,Scary Stories to Tell in the Dark,28000000
6/26/19,Annabelle Comes Home,27000000
10/4/19,Lucy in the Sky,27000000
6/10/21,The Magic Flute,27000000
11/1/19,Motherless Brooklyn,26000000
2/12/21,Judas and the Black Messiah,26000000
3/25/22,Everything Everywhere All At Once,25000000
12/25/19,Just Mercy,25000000
11/24/21,Resident Evil: Welcome to Raccoon City,25000000
1/24/19,Serenity,25000000
12/25/21,A Journal for Jordan,25000000
3/14/19,Captive State,25000000
8/23/20,Bill & Ted Face the Music,25000000
10/23/20,All My Life,25000000
3/15/19,The Professor and the Madman,25000000
10/11/19,The Addams Family,24000000
7/15/22,Where the Crawdads Sing,24000000
1/12/22,Scream,24000000
11/4/21,Annaatthe,24000000
1/15/21,The Marksman,23000000
3/5/20,The Way Back,23000000
12/27/19,The Gentlemen,22000000
4/5/19,Pet Sematary,21000000
5/8/19,The Hustle,21000000
2/1/19,Velvet Buzzsaw,21000000
9/12/19,Hustlers,20700000
3/20/19,Us,20000000
1/17/19,Glass,20000000
10/14/21,Halloween Kills,20000000
8/14/19,Good Boys,20000000
2/27/19,Tyler Perry's A Madea Family Funeral,20000000
10/12/22,Halloween Ends,20000000
2/8/19,What Men Want,20000000
11/27/19,Queen & Slim,20000000
5/12/21,Spiral,20000000
8/16/19,Where'd You Go Bernadette,20000000
5/3/19,Tolkien,20000000
1/24/20,The Last Full Measure,20000000
2/25/22,Tyler Perry's A Madea Homecoming,20000000
3/12/20,The Hunt,18200000
7/21/21,Old,18000000
7/1/21,The Forever Purge,18000000
8/9/19,The Art of Racing in the Rain,18000000
11/27/19,Marriage Story,18000000
12/19/19,Baekdusan,17700000
2/22/19,Hotel Mumbai,17300000
9/28/22,Smile,17000000
11/1/19,Harriet,17000000
7/11/19,Crawl,17000000
3/15/19,Nancy Drew and the Hidden Staircase,17000000
1/28/21,Occupation: Rainfall,17000000
12/26/20,One Night in Miami,16937665
3/19/21,Nobody,16000000
5/3/19,A Dog's Journey,16000000
7/11/19,Stuber,16000000
7/15/20,Ban-do,16000000
4/12/19,Teen Spirit,16000000
5/22/20,The Lovebirds,16000000
10/16/20,Kimetsu no Yaiba: Mugen Ressha-Hen,15750000
1/24/20,The Personal History of David Copperfield,15600000
7/7/21,Annette,15500000
8/12/21,Don't Breathe 2,15000000
7/1/21,Escape Room: Tournament of Champions,15000000
2/14/20,The Photograph,15000000
7/30/21,The Green Knight,15000000
1/30/19,Miss Bala,15000000
8/9/19,Blinded by the Light,15000000
9/14/22,Armageddon Time,15000000
7/23/21,Midnight in the Switchgrass,15000000
4/12/19,Breakthrough,14000000
10/18/19,Jojo Rabbit,14000000
4/12/19,After,14000000
12/19/19,Pinocchio,13200000
7/15/22,Mrs. Harris Goes to Paris,13000000
10/30/20,Rogue City,13000000
8/15/19,47 Meters Down: Uncaged,12000000
10/23/19,Black and Blue,12000000
1/23/20,The Turning,12000000
3/11/20,I Still Believe,12000000
5/30/19,Gisaengchung,11800000
10/30/20,Wolfwalkers,11250000
2/14/19,Fighting With My Family,11000000
3/6/20,The Banker,11000000
10/18/19,Eli,11000000
3/22/19,Dolor y gloria,10800000
12/31/19,The Grudge,10000000
11/8/19,The Good Liar,10000000
4/2/21,The Unholy,10000000
5/10/19,Poms,10000000
2/20/20,Brahms: The Boy II,10000000
4/5/19,The Best of Enemies,10000000
2/13/20,Emma.,10000000
10/18/19,Jay and Silent Bob Reboot,10000000
8/9/19,Brian Banks,10000000
1/22/21,Our Friend,10000000
3/19/19,Triple Threat,10000000
8/13/21,CODA,10000000
10/27/21,Passing,10000000
8/21/20,Words on Bathroom Walls,9300000
1/2/19,Escape Room,9000000
4/17/19,The Curse of La Llorona,9000000
2/13/19,Happy Death Day 2U,9000000
7/3/19,Midsommar,9000000
10/29/20,Come Play,9000000
5/17/19,The Sun is Also a Star,9000000
12/10/21,National Champions,9000000
5/1/19,The Intruder,8000000
7/31/20,Cut Throat City,8000000
5/3/19,El Chicano,8000000
1/10/20,Seberg,8000000
11/8/19,The Report,8000000
6/21/19,Burn Your Maps,8000000
2/26/20,The Invisible Man,7000000
3/13/19,Five Feet Apart,7000000
2/12/20,Fantasy Island,7000000
5/9/19,BrightBurn,7000000
3/8/19,The Kid,7000000
12/30/21,Chempion mira,7000000
1/29/21,Palmer,6713933
10/25/19,Countdown,6500000
4/15/22,Operation Mincemeat,6300000
8/9/19,The Peanut Butter Falcon,6200000
8/21/19,Ready or Not,6000000
5/24/19,Booksmart,6000000
3/29/19,Unplanned,6000000
2/8/19,The Prodigy,6000000
11/12/20,Freaky,6000000
12/25/20,The Father,6000000
10/9/20,Druk,5700000
8/16/19,Portrait de la jeune fille en feu,5400000
1/31/20,Sound of Metal,5400000
3/15/19,Rebelles,5200000
5/29/19,MA,5000000
8/22/19,Overcomer,5000000
1/30/20,Gretel & Hansel,5000000
12/13/19,Black Christmas,5000000
10/11/19,Jexi,5000000
8/30/19,Don't Let Go,5000000
6/30/21,Zola,5000000
1/29/21,Nomadland,5000000
3/21/19,The Beach Bum,5000000
7/10/20,Palm Springs,5000000
3/4/22,A Day to Die,5000000
12/6/19,Grand Isle,5000000
7/18/19,7500,5000000
9/8/22,Barbarian,4500000
11/8/19,J'ai perdu mon corps,4500000
9/1/20,Blood Quantum,4500000
6/7/19,Late Night,4000000
10/18/19,The Lighthouse,4000000
1/3/20,Patients of a Saint,4000000
11/8/19,Crown Vic,3600000
11/7/19,Honey Boy,3500000
6/11/21,The House Next Door: Meet the Blacks 2,3500000
7/12/19,The Farewell,3000000
2/21/20,Impractical Jokers: The Movie,3000000
6/7/19,The Last Black Man in San Francisco,3000000
7/29/20,The Climb,3000000
9/27/19,3 From Hell,3000000
2/14/20,Deux,2750000
4/12/19,Her Smell,2500000
11/13/20,Echo Boomers,2500000
5/9/20,Not Safe For Work,2500000
2/5/21,Malcolm & Marie,2500000
5/14/21,Profile,2300000
10/29/21,A Mouthful of Air,2300000
12/11/20,Minari,2000000
8/23/19,Monos,2000000
2/8/19,High Flying Bird,2000000
1/21/22,Donkeyhead,2000000
1/31/20,The Assistant,1780000
4/23/19,Living Dark: The Story of Ted the Caver,1750000
1/10/19,Braid,1660000
2/22/19,Run the Race,1500000
10/11/19,Corpus Christi,1300000
12/6/19,The Islands,1200000
6/24/20,Summerland,1100000
5/28/21,Bo Gia,1000000
6/1/21,Spare Parts,1000000
1/4/19,Rust Creek,750000
1/12/21,Lena and Snowball,400000
1/10/20,El Principe,400000
2/22/22,Dunk or Die,350000